Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Globalstar M023,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1406,1422,0.00103,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004A,25621,1999
Globalstar M026,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1412,1416,0.000257,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-041A,25872,1999
Globalstar M027,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1412,1415,0.000193,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-043B,25884,1999
Globalstar M028,USA,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-041B,25873,1999
Globalstar M029,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,900,1413,0.0341,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-062C,25963,1999
Globalstar M031,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1477,1478,6.37E-05,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058D,25946,1999
Globalstar FM37,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1411,1417,0.000385,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-012D,25652,1999
Globalstar M039,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1411,1416,0.000321,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-062A,25961,1999
Globalstar M040,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1415,1416,6.42E-05,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004B,25622,1999
Globalstar M056,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058C,25945,1999
Globalstar M059,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1413,1415,0.000128,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058B,25944,1999
Globalstar M063,USA,-95.712891,37.09024,Globalstar  ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,2000-008A,26081,2000
Globalstar M065,USA,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1411,1416,0.000321,52,114.1,450,350,1500,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat ,2007-020A,31571,2007
Globalstar M066,USA,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1412,1415,0.000193,52,114.1,450,350,1500,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048C,32265,2007
Globalstar M067,USA,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,450,350,1500,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048A,32263,2007
Globalstar M068,USA,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1411,1414,0.000193,52,114,450,350,1500,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048D,32266,2007
Globalstar M069,USA,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1411,1416,0.000321,52,114.1,450,350,1500,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat ,2007-020C,31573,2007
Globalstar M070,USA,-3.435973,55.378052,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1412,1415,0.000193,52,114.1,450,350,1500,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048B,32264,2007
Globalstar M071,USA,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1412,1415,0.000193,52,114.1,450,350,1500,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020F,31576,2007
Globalstar M072,USA,35.24332,38.963745,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1412,1416,0.000257,52,114.1,450,350,1500,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020D,31574,2007
Horizons 2,USA,-3.435973,55.378052,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",USA/Japan,Commercial,Communications,Radar Imaging,GEO,Sun-Synchronous,85,35777,35796,0.000225,0,1436.1,2300,2175,4700,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2007-063B,32388,2007
Intelsat 10,USA,,,"PanAmSat (Intelsat, S.A.)",USA,Commercial,Communications,Meteorology,GEO,Deep Highly Eccentric,68.52,35776,35796,0.000237,0.04,1436.08,3739,"2,510 (BOL)",9600,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton,2001-019A,26766,2001
Intelsat 10-02,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Meteorology,GEO,Deep Highly Eccentric,-0.95,35783,35789,7.12E-05,0.02,1436.08,5576,"2,510 (BOL)",11000,13,EADS Astrium,UK/France/Germany/Spain,Baikonur Cosmodrome,Proton,2004-022A,28358,2004
Intelsat 15,USA,,,"Intelsat, S.A./Sky Perfect JSAT Corp.",USA,Commercial,Communications,Meteorology,GEO,Deep Highly Eccentric,85,35776,35798,0.000261,0.05,1436.12,2550,1050,4600,17,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,2009-067A,36106,2009
Intelsat 16,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,-58.12,35783,35791,9.49E-05,0.07,1436.19,2450,1729,4500,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2010-006A,36397,2010
Intelsat 19,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,166,35768,35801,0.000391,0.13,1436.01,5600,1729,15000,15,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit,2012-030A,38356,2012
Intelsat 1R,USA,,,"PanAmSat (Intelsat, S.A.)",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,-44.96,35785,35788,3.56E-05,0.06,1436.11,4793,3000,15000,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2000-072A,26608,2000
Intelsat 20,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,68.5,35780,35790,0.000119,0.02,1436.03,6094,2989,19300,18,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2012-043A,38740,2012
Intelsat 25,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,328.5,35778,35793,0.000178,0.02,1436.1,4100,2989,11000,16,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2008-034A,33153,2008
Intelsat 5,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,26.11,35774,35798,0.000285,0.03,1436.09,2730,2519,9700,15,Hughes Space and Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-046A,24916,1997
Intelsat 701,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,179.94,35775,35797,0.000261,0.01,1436.08,3642,1450,3900,Oct-15,Hughes Space and Communications Group,USA,Guiana Space Center,Ariane 44L,1993-066A,22871,1993
Intelsat 702,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,47.5,35776,35796,0.000237,0.02,1436.1,3642,1450,3900,15,Loral Space Systems,USA,Guiana Space Center,Ariane 44LP,1994-034A,23124,1994
Intelsat 805,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,-55.49,35775,35797,0.000261,0.01,1436.08,3420,2200,4900,14,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L,1998-037A,25371,1998
Intelsat 9,USA,,,"PanAmSat (Intelsat, S.A.)",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,-58,35782,35792,0.000119,0.01,1436.14,3659,"2,389 (BOL)",9900,15,Hughes,USA,Sea Launch (Odyssey),Zenit 3SL,2000-043A,26451,2000
Intelsat 901,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,-18.01,35775,35798,0.000273,0.01,1436.12,4723,1972,10000,13,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,2001-024A,26824,2001
Intelsat 902,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,62.05,35775,35797,0.000261,0.02,1436.1,4723,1972,8500,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2001-039A,26900,2001
Intelsat 903,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,-34.55,35773,35802,0.000344,0.02,1436.16,4723,1972,8600,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-016A,27403,2002
Intelsat 904,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,60.05,35782,35789,8.30E-05,0.01,1436.07,4680,2350,8500,13,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-007A,27380,2002
Intelsat 905,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,-24.52,35768,35805,0.000439,0.01,1436.12,4723,1984,10000,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-027A,27438,2002
Intelsat 906,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,64.19,35775,35796,0.000249,0.01,1436.07,4723,1955,7000,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-041A,27513,2002
Intelsat 907,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,-27.45,35770,35803,0.000391,0.02,1436.1,4685,1973,10000,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2003-007A,27683,2003
Intelsat New Dawn,USA,,,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,32.8,35800,35892,0.00109,0.05,1439.15,3000,1283,4800,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2011-016A,37392,2011
Lemur-1,USA,,,Spire Global Inc.,USA,Commercial,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,612,697,0.00605,97.98,97.82,4,12,14,5,NanoSatisfi Inc.,USA,Dombarovsky Air Base,Dnepr,2014-033AL,40044,2014
Lemur-2 Chris,USA,,,Spire Global Inc.,USA,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,635,649,0.000998,6,97.57,10,12,14,5,Spire Global,USA,Satish Dhawan Space Center,PSLV C-30,2015-052G,40936,2015
Lemur-2Jeroen,USA,,,Spire Global Inc.,USA,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,635,649,0.000998,6.01,97.57,10,12,14,5,Spire Global,USA,Satish Dhawan Space Center,PSLV C-30,2015-052F,40935,2015
Lemur-2 Joel,USA,,,Spire Global Inc.,USA,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,629,649,0.00143,6,97.49,10,12,14,5,Spire Global,USA,Satish Dhawan Space Center,PSLV C-30,2015-052D,40933,2015
Lemur-2 Peter,USA,,,Spire Global Inc.,USA,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,634,650,0.00114,6.01,97.56,10,12,14,5,Spire Global,USA,Satish Dhawan Space Center,PSLV C-30,2015-052E,40934,2015
MSAT 2,USA,,,Mobile Satellite Ventures,USA/Canada,Commercial,Communications,Earth Science,GEO,Sun-Synchronous,-101.21,35776,35796,0.000237,4.02,1436.09,2850,1330,3300,10,Hughes Communications Inc.,USA,Cape Canaveral,Atlas 2A,1995-019A,23553,1995
NSS-10,USA,,,SES (Société Européenne des Satellites (SES)),Netherlands,Commercial,Communications,Meteorology,GEO,Non-Polar Inclined,-37.37,35778,35795,0.000202,0.02,1436.1,5396,1500,830,16,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton/Breeze M,2005-003A,28526,2005
NSS-11,USA,,,SES (Société Européenne des Satellites (SES)),Netherlands,Commercial,Communications,Meteorology,GEO,Non-Polar Inclined,108.21,35776,35798,0.000261,0.07,1436.15,3582,2000,830,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-059A,26554,2000
ORBCOMM FM-10,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,770,776,0.00042,45,100.3,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084B,25113,1997
ORBCOMM FM-11,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,769,777,0.00056,45,100.3,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084C,25114,1997
ORBCOMM FM-12,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,770,776,0.00042,45,100.3,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084D,25115,1997
ORBCOMM FM-13,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,788,795,0.000489,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046H,25420,1998
ORBCOMM FM-14,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,789,794,0.000349,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046G,25419,1998
ORBCOMM FM-15,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,788,795,0.000489,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046F,25418,1998
ORBCOMM FM-16,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,789,794,0.000349,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-046E,25417,1998
ORBCOMM FM-18,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,787,796,0.000628,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046B,25414,1998
ORBCOMM FM-19,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,788,795,0.000489,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046C,25415,1998
ORBCOMM FM-20,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,791,792,6.98E-05,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046D,25416,1998
ORBCOMM FM-21,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,130,810,822,0.000835,45,101.21,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-053A,25475,1998
ORBCOMM FM-23,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,788,794,0.000419,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-053C,25477,1998
ORBCOMM FM-27,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,790,792,0.00014,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-053G,25481,1998
ORBCOMM FM-30,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,788,796,0.000559,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065A,25980,1999
ORBCOMM FM-31,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,788,795,0.000489,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065B,25981,1999
ORBCOMM FM-32,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,786,796,0.000698,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065C,25982,1999
ORBCOMM FM-34,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,787,796,0.000628,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065G,25986,1999
ORBCOMM FM-35,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,788,795,0.000489,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065F,25985,1999
ORBCOMM FM-36,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,788,795,0.000489,45,100.7,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065E,25984,1999
ORBCOMM FM-4,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Polar,0,768,838,0.00488,108,100.9,45,22,160,5,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,1998-007C,25159,1998
ORBCOMM FM-5,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,772,774,0.00014,45,100.3,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084F,25117,1997
ORBCOMM FM-6,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,772,774,0.00014,45,100.3,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084G,25118,1997
ORBCOMM FM-7,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,771,774,0.00021,45,100.3,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084H,25119,1997
ORBCOMM FM-8,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,768,778,0.0007,45,100.3,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084A,25112,1997
ORBCOMM FM-9,USA,,,ORBCOMM Inc.,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,769,777,0.00056,45,100.3,45,22,160,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084E,25116,1997
